Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase/Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase/Sales
11-10-2008,1659.7,1567.37,92.33,998.28,620.62,377.66
12-10-2008,2603.96,1653.31,950.65,808.69,867.7,-59.01
13-10-2008,2864.1,3924.7,-1060.6,1301.06,718.75,582.31
14-10-2008,3829.76,2931.51,898.25,859.71,1112.08,-252.37
15-10-2008,1887.99,2918.78,-1030.79,1472.38,802.42,669.96
16-10-2008,2310.01,3470.64,-1160.63,1465.47,727.7,737.77
17-10-2008,2308.4,3223.94,-915.54,1363.16,650.39,712.77
20-10-2008,1934.53,2751.32,-816.79,775.83,559.4,216.43
21-10-2008,2369.09,2627.51,-258.42,1510.64,626.88,883.76
22-10-2008,1722.32,2266.27,-543.95,969.84,565.79,404.05
